acropol	{7a326bdd-0e16-401c-b275-0330067879a4}
agn_farmcoop_4	{701de4d0-1a78-40cc-b026-8406c92fc041}
agn_farmgrainelevcomplex_1	{ce4fe16b-60be-427a-b9da-19f1b7b0aa54}
agn_farmgrainelevcomplex_2	{0c2c1f7b-0f18-4eb3-afc1-1407f10a584c}
agn_farmgrainelevgroup_1	{c7703483-f601-41e9-9957-4a780e496e48}
agn_farmgrainelevgroup_2	{a5d45844-89b2-455d-a80f-328c0aa08ef1}
agn_farmgrainelevset_1	{1acc0829-172a-4dcf-b145-422d551703e4}
agn_farmgrainelevset_2	{da4de1da-57d2-45a7-9411-62c765145f65}
agn_farmgrainelevsquare_1	{a2a72de8-1450-4ca1-916a-99f3bb08dc74}
agn_farmgrainelevsquare_2	{e25e12b9-f08d-42f2-a9d3-74f9ce7333be}
agn_farmgreenhouse_1	{b83e5d80-2d55-4c6e-b83c-2ffa60416e9e}
agn_farmgreenhouse_2	{7550b321-aab8-4935-8eee-d7b0cd080229}
agn_farmgreenhouse_3	{e6a11529-60cf-4050-99ca-30a433a41900}
agn_farmgreenhouse_4	{dc8325f6-f125-415c-8e3a-aeb653537624}
agn_farmlonghouse_1	{17c54f0d-1c71-40c5-bc90-f9a8a6b8f09e}
agn_farmlonghouse_2	{00464a91-e977-4d52-bb20-7adc4a3e055c}
agn_farmlonghouse_3	{cd171869-483a-48ac-b744-837910c2fb62}
agn_farmlonghouse_4	{dc78448c-b7a5-4eb1-b183-6b52bc09418f}
agn_farmpen_1	{33858e14-933f-4f55-8933-30de09387af5}
agn_farmpen_2	{6c5dcebf-3315-44d0-ab3e-9986580a23d0}
agn_farmpen_3	{66d894f4-2c34-4455-985f-66abc8ee2509}
agn_farmpen_4	{fffb9c7b-d7d4-487d-8819-8e091f5ff038}
agn_farmpens_1	{9278ca3d-0f1e-45b6-ae51-8a9377f38e42}
agn_farmpens_2	{6be1bddc-4232-45f1-8d29-890e0e0c3076}
agn_farmpens_3	{301f77c1-f3e0-42ce-8f41-8d1783d98822}
agn_farmpens_4	{4bd818db-3155-4a4f-b92b-c4a8a331d79d}
agn_farmquanset_1	{90f39c81-a8d4-4987-b1fe-34bf9fa3f492}
agn_farmquanset_2	{f28f1060-d9ba-4e8f-89c7-7a71c60af21b}
agn_farmquanset_3	{09384365-1f93-4d8d-b67f-a633144ea2e1}
agn_farmquanset_4	{1ea47b02-d9f4-449d-9338-6ba75eae0971}
agn_farmshedlarge_1	{720cb5da-601f-4f01-8594-6873758e7f48}
agn_farmshedlarge_2	{da4f92a7-063e-4bfb-90f3-0bd90228c440}
agn_farmsilo_1	{efd488cb-0f8f-4138-8dc5-2240e69f7f87}
agn_farmsilo_2	{7c686804-3cd4-4e3b-9849-be2aabf86f3d}
agn_farmsilo_3	{a2b11580-51d1-4433-a145-f00911f33571}
agn_farmsilo_4	{7aa73679-243b-415d-a27e-e9cf83eba146}
agn_gasolda_1	{cc947551-7c32-41ff-a46c-eae3001cf8f1}
agn_gasolda_2	{9d3c3c52-09e1-432c-9aa9-251cabc92ea6}
agn_gasoldb_1	{6ac6f3a0-9884-41b2-a93a-d5e6bf7bed06}
agn_gasoldb_2	{630be1d4-6989-4a25-98ef-e5f064c16d5f}
agn_gasoldc_1	{65f53031-9120-4aa7-bf6c-7d9255830e55}
agn_gasoldc_2	{f099095a-7412-4d9d-935f-dad06294f02c}
agn_gasoldd_1	{b74bbb8b-a780-4298-90fa-a66cea234ea0}
agn_gasoldd_2	{1301e10a-32ca-4cbf-9c46-2a3279bf076e}
agn_highrise01	{c053116e-4a9f-4292-b9da-2bedb09c3792}
agn_highrise02	{76508080-15a9-4d23-940a-194b8953834c}
agn_highrise03	{7afb08e1-e270-4b2e-90cc-0a719e49a250}
agn_highrise04	{8538883b-0e6e-4151-9e3c-1bcab41645d2}
